,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
11150,Ormond,22/30 Lillimur Rd,1,u,370000.0,S,Woodards,2017-12-08,11.4,3204.0,1.0,1.0,1.0,2029.0,54.0,2009.0,Glen Eira,-37.90143,145.04183999999995,Southern Metropolitan,3578.0
6363,Toorak,7a Woorigoleen Rd,3,t,2650000.0,VB,Jellis,2016-10-09,4.6,3142.0,3.0,3.0,2.0,0.0,291.0,2000.0,Stonnington,-37.8428,145.0171,Southern Metropolitan,7217.0
6487,Williamstown,54 Twyford St,3,h,1535000.0,S,Greg,2016-03-09,8.0,3016.0,3.0,1.0,1.0,507.0,186.0,1910.0,Hobsons Bay,-37.8681,144.8994,Western Metropolitan,6380.0
9064,Brunswick East,271 Edward St,2,h,1105000.0,S,Nelson,2017-03-06,4.0,3057.0,2.0,1.0,2.0,173.0,79.0,1890.0,Moreland,-37.775240000000004,144.97529,Northern Metropolitan,5533.0
10908,Bentleigh,15A Windsor Av,4,t,1750000.0,S,Buxton,2017-12-08,11.4,3204.0,4.0,3.0,2.0,429.0,262.0,2013.0,Glen Eira,-37.915820000000004,145.048,Southern Metropolitan,6795.0
6931,Fawkner,10 Patricia Dr,3,h,617000.0,SP,hockingstuart,2016-04-23,12.4,3060.0,3.0,1.0,1.0,540.0,114.0,1960.0,Moreland,-37.6973,144.96200000000005,Northern Metropolitan,5070.0
6470,West Melbourne,115 Abbotsford St,3,h,1260000.0,S,Alexkarbon,2016-04-06,1.9,3003.0,2.0,3.0,2.0,506.0,195.0,2000.0,Melbourne,-37.805,144.9448,Northern Metropolitan,2230.0
6578,Windsor,6/10 Wrexham Rd,1,u,452000.0,S,Marshall,2017-11-02,5.1,3181.0,1.0,1.0,1.0,0.0,46.0,1974.0,Stonnington,-37.8568,145.0004,Southern Metropolitan,4380.0
8117,Murrumbeena,5 Donal St,3,h,1255000.0,S,hockingstuart,2017-04-22,12.1,3163.0,3.0,1.0,2.0,557.0,108.0,1950.0,Glen Eira,-37.9059,145.0733,Southern Metropolitan,4442.0
12173,Sunshine West,2 Day St,3,h,695000.0,S,Barry,2017-07-29,10.5,3020.0,3.0,1.0,0.0,694.0,113.6,1950.0,Brimbank,-37.788709999999995,144.81368999999995,Western Metropolitan,6763.0
12013,Frankston North,7 Wirilda Cr,3,h,570000.0,SP,C21,2017-07-29,36.9,3200.0,3.0,1.0,4.0,632.0,104.0,1960.0,Frankston,-38.11984,145.16208999999995,Eastern Victoria,2500.0
5388,Richmond,7/182 Coppin St,1,u,306000.0,S,Jellis,2016-08-22,2.6,3121.0,1.0,1.0,1.0,0.0,40.0,1965.0,Yarra,-37.8242,145.0026,Northern Metropolitan,14949.0
11756,Noble Park,371 Princes Hwy,3,h,650000.0,SP,iSell,2017-07-22,22.7,3174.0,3.0,1.0,1.0,603.0,130.0,1970.0,Greater Dandenong,-37.96318,145.18962,South-Eastern Metropolitan,11806.0
10489,Richmond,7/4 Smith St,1,u,314000.0,SP,Biggin,2017-05-27,2.4,3121.0,1.0,1.0,1.0,0.0,37.0,1970.0,Yarra,-37.81256,144.99347,Northern Metropolitan,14949.0
8516,Williamstown,12/53 Morris St,2,u,550000.0,SP,Williams,2017-04-22,8.0,3016.0,2.0,1.0,2.0,0.0,65.0,1990.0,Hobsons Bay,-37.8685,144.9058,Western Metropolitan,6380.0
5181,Reservoir,1/15 Chenies St,3,u,450000.0,VB,hockingstuart,2016-05-22,11.2,3073.0,3.0,1.0,2.0,179.0,108.0,2002.0,Darebin,-37.7108,145.0289,Northern Metropolitan,21650.0
2972,Hadfield,4 Surrey St,4,h,870000.0,S,Barry,2016-03-12,12.1,3046.0,4.0,3.0,5.0,591.0,268.0,2010.0,Moreland,-37.7127,144.9489,Northern Metropolitan,2606.0
293,Ascot Vale,119 Roseberry St,2,h,750000.0,SP,Maddison,2016-04-06,5.9,3032.0,2.0,1.0,1.0,226.0,92.0,1920.0,Moonee Valley,-37.7745,144.9093,Western Metropolitan,6567.0
10475,Preston,52 May St,3,h,1171000.0,S,Woodards,2017-05-27,8.4,3072.0,3.0,1.0,2.0,483.0,186.0,1930.0,Darebin,-37.73261,144.99535,Northern Metropolitan,14577.0
2989,Hadfield,1/32 Sutherland St,3,h,545000.0,S,Raine,2016-12-11,12.1,3046.0,3.0,2.0,3.0,230.0,113.0,2000.0,Moreland,-37.7073,144.9486,Northern Metropolitan,2606.0
5693,South Yarra,4/943 Punt Rd,2,u,520000.0,SP,hockingstuart,2016-07-26,3.3,3141.0,2.0,1.0,1.0,0.0,62.0,1890.0,Melbourne,-37.8323,144.9876,Southern Metropolitan,14887.0
11579,Aspendale,14 Ebb St,3,h,970000.0,VB,hockingstuart,2017-07-22,21.5,3195.0,4.0,2.0,2.0,612.0,154.0,1960.0,Kingston,-38.01596,145.09932,South-Eastern Metropolitan,2824.0
1404,Brunswick West,10 Yarrabin St,3,h,810000.0,S,Brad,2016-07-11,5.9,3055.0,3.0,1.0,2.0,349.0,95.0,1950.0,Moreland,-37.7589,144.9368,Northern Metropolitan,7082.0
6605,Windsor,31 Raleigh St,2,h,1350000.0,S,Jellis,2016-08-28,5.1,3181.0,2.0,1.0,1.0,157.0,101.0,1900.0,Port Phillip,-37.8522,144.986,Southern Metropolitan,4380.0
7808,Essendon,3 Crisp St,5,h,1652000.0,S,Brad,2017-05-20,8.0,3040.0,5.0,2.0,1.0,697.0,196.0,1920.0,Moonee Valley,-37.7459,144.9159,Western Metropolitan,9264.0
11866,Williamstown,22 Hotham St,4,h,1440000.0,S,Williams,2017-07-22,6.8,3016.0,4.0,2.0,0.0,240.0,170.0,1900.0,Hobsons Bay,-37.85414,144.89561,Western Metropolitan,6380.0
1516,Burwood,48 Station St,3,h,1160000.0,S,Greg,2016-04-06,11.7,3125.0,3.0,1.0,1.0,786.0,111.0,1950.0,Whitehorse,-37.8525,145.1198,Southern Metropolitan,5678.0
